lncRNA,target
ABHD15-AS1,CTCF
ABHD15-AS1,CREBRF
ABHD15-AS1,CPM
ABHD15-AS1,CTIF
ABHD15-AS1,CSNK1A1
ABHD15-AS1,CUEDC1
ABHD15-AS1,CTSB
ABHD15-AS1,COL25A1
ABHD15-AS1,CPEB2
ABHD15-AS1,DAP3
ABHD15-AS1,CTNND2
ABHD15-AS1,COPA
ABHD15-AS1,CRACD
ABHD15-AS1,CREB5
ABHD15-AS1,CSNK1D
ABHD15-AS1,CUL2
ABHD15-AS1,CYB5B
ABHD15-AS1,CXXC4
ABHD15-AS1,CX3CL1
ABHD15-AS1,CRTC1
ABHD15-AS1,DDRGK1
ABHD15-AS1,DCLK2
ABHD15-AS1,DCAF6
ABHD15-AS1,DAZAP2
ABHD15-AS1,CYRIB
ABHD15-AS1,CYRIA
ABHD15-AS1,CYTH1
ABHD15-AS1,CUL3
ABHD15-AS1,DCUN1D2
ABHD15-AS1,CYTH3
ABHD15-AS1,DDX50
ABHD15-AS1,CYFIP2
ABHD15-AS1,CTTNBP2NL
ABHD15-AS1,DCTN2
ABHD15-AS1,CTTNBP2
ABHD15-AS1,CYCS
ABHD15-AS1,CXADR
ABHD15-AS1,CUL4A
ABHD15-AS1,DAPK1
ABHD15-AS1,CYFIP1
ABHD15-AS1,DEAF1
ABHD15-AS1,CTBP2
ABHD15-AS1,DENND10
ABHD15-AS1,CTSA
ABHD15-AS1,DDB1
ABHD15-AS1,DAB1
ABHD15-AS1,DDHD2
ABHD15-AS1,CUL5
ABHD15-AS1,DDX42
