ligand,receptor
CALM2,PDE1C
CALM2,PLPP6
CALM2,SCN10A
CALM2,SCN4A
CALM2,SELL
CALM2,TRPC5
CALM3,ABCA1
CALM3,ADCY8
CALM3,AQP1
CALM3,AQP6
CALM3,AR
CALM3,CACNA1C
CALM3,EGFR
CALM3,ESR1
CALM3,GP6
CALM3,GRM5
CALM3,GRM7
CALM3,INSR
CALM3,KCNQ1
CALM3,KCNQ3
CALM3,KCNQ5
CALM3,MYLK
CALM3,MYLK2
CALM3,PDE1A
CALM3,PDE1B
CALM3,PDE1C
CALM3,PLPP6
CALM3,RYR2
CALM3,SCN10A
CALM3,SCN4A
CALM3,SELL
CALM3,TRPC5
CALML3,KCNQ1
CALR,HLA-F
CALR,ITGA2B
CALR,ITGA3
CALR,ITGAV
CALR,LRP1
CALR,MPL
CALR,MTNR1A
CALR,SCARF1
CALR,TSHR
CAMP,EGFR
CAMP,FPR2
CAMP,IGF1R
CAMP,P2RX7
CARD11,DPP4
CASP8,FADD
CASP8,FAS
CATG,FPR1
CATG,PAR4
CAV1,DPP4
CAV1,EPHA2
CAV1,PDGFRB
CCK,CCKAR
CCK,CCKBR
CCKN,CCKAR
CCKN,GASR
CCL1,ACKR1
CCL1,ACKR4
CCL1,CCR1
CCL1,CCR8
CCL11,ACKR1
CCL11,ACKR2
CCL11,ACKR4
CCL11,CCR2
CCL11,CCR3
CCL11,CCR5
CCL11,CXCR3
CCL11,DPP4
CCL13,ACKR1
CCL13,ACKR2
CCL13,ACKR4
CCL13,CCR1
CCL13,CCR2
CCL13,CCR3
CCL13,CCR5
CCL13,CCR9
CCL13,CXCR3
CCL14,ACKR1
CCL14,ACKR2
CCL14,CCR1
CCL14,CCR3
CCL14,CCR5
CCL15,CCR1
CCL15,CCR3
CCL16,ACKR1
CCL16,ADRA2A
CCL16,CCR1
CCL16,CCR2
CCL16,CCR5
CCL16,CCR8
CCL16,CXCR5
CCL16,GRM7
CCL16,HRH4
CCL16,MTNR1A
CCL17,ACKR1
CCL17,ACKR2
CCL17,CCR4
CCL17,CCR8
CCL18,ACKR1
CCL18,CCR1
CCL18,CCR3
CCL18,CCR8
CCL18,ERG28
CCL18,PITPNM3
CCL19,ACKR2
CCL19,ACKR4
CCL19,ADRA2A
CCL19,CCR10
CCL19,CCR7
CCL19,CCRL2
CCL19,CXCR3
CCL19,GRM7
CCL19,MTNR1A
CCL2,ACKR1
CCL2,ACKR2
CCL2,ACKR4
CCL2,CCR1
CCL2,CCR10
CCL2,CCR2
CCL2,CCR3
CCL2,CCR4
CCL2,CCR5
CCL20,ACKR4
CCL20,ADRA2A
CCL20,CCR6
CCL20,CXCR3
CCL20,GRM7
CCL20,MTNR1A
CCL21,ACKR2
CCL21,ACKR4
CCL21,ADRA2A
CCL21,CCR10
CCL21,CCR7
CCL21,CXCR3
CCL21,GRM7
CCL21,MTNR1A
CCL21,VCAN
CCL22,ACKR1
CCL22,ACKR2
CCL22,CCR4
CCL22,DPP4
CCL23,ACKR2
CCL23,ADRA2A
CCL23,CCR1
CCL23,FPR2
CCL23,GRM7
CCL23,MTNR1A
CCL24,ACKR2
CCL24,CCR2
CCL24,CCR3
CCL25,ACKR2
CCL25,ACKR4
CCL25,ADRA2A
CCL25,CCR10
CCL25,CCR9
CCL25,GRM7
CCL25,MTNR1A
CCL26,ACKR2
CCL26,CCR1
CCL26,CCR2
CCL26,CCR3
CCL26,CCR5
CCL26,CX3CR1
CCL27,ACKR2
CCL27,ADRA2A
CCL27,CCR10
CCL27,CCR2
CCL27,CCR3
CCL27,GRM7
CCL27,MTNR1A
CCL28,ACKR2
CCL28,ADRA2A
CCL28,CCR10
CCL28,CCR3
CCL28,GRM7
CCL28,MTNR1A
CCL3,ACKR2
CCL3,CCR1
CCL3,CCR3
CCL3,CCR4
CCL3,CCR5
CCL3,CXCR5
CCL3L1,ACKR2
CCL3L1,CCR1
CCL3L1,CCR3
CCL3L1,CCR4
CCL3L1,CCR5
CCL3L3,ACKR2
CCL3L3,CCR1
CCL3L3,CCR5
CCL4,ACKR2
CCL4,CCR1
CCL4,CCR3
CCL4,CCR5
CCL4,CCR8
CCL4,CNR2
CCL4,CXCR5
CCL4,GPR152
CCL4,GPRC5D
CCL4,SLC7A1
CCL4L1,ACKR2
CCL4L1,CCR1
CCL4L1,CCR3
CCL4L1,CCR5
CCL4L1,FFAR2
CCL4L1,GPR101
CCL4L1,GPR151
CCL4L1,GPR152
CCL4L1,GPR42
CCL4L1,PGRMC2
CCL4L1,VSIR
CCL5,ACKR1
CCL5,ACKR2
CCL5,ACKR4
CCL5,ADRA2A
CCL5,CCR1
CCL5,CCR3
CCL5,CCR4
CCL5,CCR5
CCL5,CCRL2
CCL5,CXCR3
CCL5,CXCR5
CCL5,DPP4
CCL5,GPR75
CCL5,GRM7
CCL5,MTNR1A
CCL5,SDC1
CCL5,SDC4
CCL7,ACKR1
CCL7,ACKR2
CCL7,ACKR4
CCL7,CCR1
CCL7,CCR10
CCL7,CCR2
CCL7,CCR3
CCL7,CCR5
CCL7,CXCR3
CCL8,ACKR1
CCL8,ACKR2
CCL8,ACKR4
CCL8,CCR1
CCL8,CCR10
CCL8,CCR2
CCL8,CCR3
CCL8,CCR4
CCL8,CCR5
CCN1,CAV1
CCN1,ITGA2B
CCN1,ITGA5
CCN1,ITGA6
CCN1,ITGAD
CCN1,ITGAM
CCN1,ITGAV
CCN1,ITGB1
CCN1,ITGB2
CCN1,ITGB3
CCN1,ITGB5
CCN1,SDC4
CCN1,TLR2
CCN1,TLR4
